Data Time:05/01/2021 07:40:49, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 07:40:49, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 07:40:50, Message:The remote server returned an error: (404) Not Found., Event Name:, Control Name:, Line No.:71, Class Name:Program.cs
Data Time:05/01/2021 07:56:47, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:77, Class Name:Program.cs
Data Time:05/01/2021 07:57:13, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:77, Class Name:Program.cs
Data Time:05/01/2021 07:57:17, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 07:57:18, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 07:57:18, Message:The remote server returned an error: (404) Not Found., Event Name:, Control Name:, Line No.:77, Class Name:Program.cs
Data Time:05/01/2021 08:28:17, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 08:28:41, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 08:28:42, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 08:28:42, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:45:26, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:45:49, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:45:53, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:45:54, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:48:20, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:48:45, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:48:47, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:48:47, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:49:04, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:49:30, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:49:31, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:49:31, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:50:10, Message:The remote name could not be resolved: 'ecu.1399.test', Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:50:38, Message:Unable to connect to the remote server, Event Name:, Control Name:, Line No.:85, Class Name:Program.cs
Data Time:05/01/2021 12:50:40, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
Data Time:05/01/2021 12:50:40, Message:Response received from URL, Event Name:, Control Name:, Line No.:60, Class Name:Program.cs
